Instance,S1_LOCAL_VAR_NOT_ASSIGNED,S1_LOCAL_VAR_NOT_USED,S2_SIMILAR_OBJECT_TYPE_WITH_NORMAL_GUARD,S2_SIMILAR_OBJECT_TYPE_WITH_NULL_GUARD,S4_Field_NOT_USED,S4_Field_NOT_ASSIGNED,S5_SIMILAR_PRIMITIVE_TYPE_WITH_NORMAL_GUARD,S5_SIMILAR_PRIMITIVE_TYPE_WITH_NULL_GUARD,S6_METHOD_THROWS_EXCEPTION,S7_OBJECT_USED_IN_ASSIGNMENT,S8_PRIMITIVE_USED_IN_ASSIGNMENT,S9_METHOD_CALL_WITH_NORMAL_GUARD,S10_METHOD_CALL_WITH_NULL_GUARD,S11_FAULTY_CLASS_EXCEPTION_TYPE,S12_METHOD_CALL_WITH_TRY_CATCH,S15_HAS_OBJECTIVE_METHOD_CALL,LE1_EXISTS_RELATED_BOOLEAN_EXPRESSION,LE2_IS_BOOLEAN_METHOD_PARAM_TYPE_VAR,LE3_IS_COMPATIBLE_VAR_NOT_INCLUDED,LE4_EXISTS_LOCAL_UNUSED_VARIABLES,LE5_COMPLEX_REFERENCE,LE6_HAS_NEGATION,LE7_SIMPLE_VAR_OR_METHOD_IN_LOGIC,LE8_SCOPE_VAR_USED_OTHER_BOOLEXPER,LE9_NORMAL_CHECK,LE9_NULL_CHECK,LE9_MIX_CHECK,LE10_ATOMIC_EXPRESSION_SAME_INVOCATION_TARGET,LE10_ATOMIC_EXPRESSION_COMPARISION_SAME_LEFT,LE10_ATOMIC_EXPRESSION_COMPARISION_SAME_RIGHT,LE10_ATOMIC_EXPRESSION_MULTIPLE_VAR_AS_BOOLEAN,LE10_ATOMIC_EXPRESSION_USED_IN_INVOCATION_COMPARISION_VARIABLE,V1_IS_TYPE_COMPATIBLE_METHOD_CALL_PARAM_RETURN,V2_HAS_VAR_SIM_NAME_COMP_TYPE,V2_HAS_VAR_SIM_NAME,V3_HAS_CONSTANT,V4B_USED_MULTIPLE_AS_PARAMETER,V4_FIRST_TIME_USED_AS_PARAMETER,V5_HAS_VAR_IN_TRANSFORMATION,V6_IS_METHOD_RETURN_TYPE_VAR,V16_IS_METHOD_PARAMETER_TYPE_VAR,V8_VAR_PRIMITIVE,V8_VAR_OBJECT,V9_VAR_TYPE_Similar_Literal,V10_VAR_TYPE_Similar_VAR,V11_VAR_COMPATIBLE_TYPE_IN_CONDITION,V12_VAR_Invocation_VAR_REPLACE_BY_VAR,V13_VAR_Invocation_VAR_REPLACE_BY_INVOCATION,V14_VAR_INSTANCE_OF_CLASS,V15_VAR_LAST_THREE_SAME_TYPE_LOC,V17_VAR_IS_ENUMERATION,V18_Has_Method_Similar_In_Name,V19_With_Special_Name,V1_LOCAL_VAR_NOT_USED,V1_LOCAL_VAR_NOT_ASSIGNED,V2_SIMILAR_OBJECT_TYPE_WITH_NORMAL_GUARD,V5_SIMILAR_PRIMITIVE_TYPE_WITH_NORMAL_GUARD,V2_SIMILAR_OBJECT_TYPE_WITH_NULL_GUARD,V5_SIMILAR_PRIMITIVE_TYPE_WITH_NULL_GUARD,V4_Field_NOT_USED,V4_Field_NOT_ASSIGNED,V7_OBJECT_USED_IN_ASSIGNMENT,V8_PRIMITIVE_USED_IN_ASSIGNMENT,M1_OVERLOADED_METHOD,M2_SIMILAR_METHOD_WITH_SAME_RETURN,M3_ANOTHER_METHOD_WITH_PARAMETER_RETURN_COMP,M4_PARAMETER_RETURN_COMPABILITY,M5_MI_WITH_COMPATIBLE_VAR_TYPE,M6_INV_Invocation_INV_REPLACE_BY_VAR,M7_INV_Invocation_INV_REPLACE_BY_INV,M8_RETURN_PRIMITIVE,M9_RETURN_OBJECTIVE,M10_WRAPTTED_IN_OTHER_CALLS,M11_Satrt_With_Get,M12_Has_Var_Similar_In_Name,M13_Argument_Has_Primitive,M1_LOCAL_VAR_NOT_USED,M1_LOCAL_VAR_NOT_ASSIGNED,M2_SIMILAR_OBJECT_TYPE_WITH_NORMAL_GUARD,M5_SIMILAR_PRIMITIVE_TYPE_WITH_NORMAL_GUARD,M2_SIMILAR_OBJECT_TYPE_WITH_NULL_GUARD,M4_Field_NOT_USED,M4_Field_NOT_ASSIGNED,M7_OBJECT_USED_IN_ASSIGNMENT,M8_PRIMITIVE_USED_IN_ASSIGNMENT,M9_METHOD_CALL_WITH_NORMAL_GUARD,M10_METHOD_CALL_WITH_NULL_GUARD,M12_METHOD_CALL_WITH_TRY_CATCH,C1_SAME_TYPE_CONSTANT,C2_SAME_TYPE_CONSTANT_VAR,C2_SAME_TYPE_VAR,C3_TYPEACCESS_ACTUAL_VAR,CON1_OVERLOADED_CONSTRUCTOR,CON2_SIMILAR_CONSTRUCTOR,CON3_WRAPTTED_IN_OTHER_CALLS,CON4_Return_Primitive,CON5_Of_Class,CON6_Argument_Has_Primitive,CON9_METHOD_CALL_WITH_NORMAL_GUARD,CON10_METHOD_CALL_WITH_NULL_GUARD,CON12_METHOD_CALL_WITH_TRY_CATCH,O1_IS_LOGICAL,O1_IS_BIT,O1_IS_COMPARE,O1_IS_SHIFT,O1_IS_MATH,O1_IS_OTHERS,O2_LOGICAL_CONTAIN_NOT,O3_CONTAIN_NULL,O3_CONTAIN_01,O4_COMPARE_IN_CONDITION,O5_IS_MATH_ROOT,Label
Bears,1,5,1,0,1,1,0,0,7,9,0,0,0,0,0,10,6,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,15,0,1,3,0,5,5,20,20,14,8,12,6,0,0,2,0,0,0,3,0,5,1,1,0,0,0,1,1,9,0,3,6,9,6,7,1,1,17,0,6,0,0,10,4,1,0,0,0,0,0,3,0,0,0,0,9,0,7,0,0,0,0,1,0,1,0,0,0,2,0,9,0,27,0,2,9,9,1,27,Unrepaired
Bears,0,0,3,0,0,0,1,0,8,0,1,0,0,0,0,0,5,3,0,1,6,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,5,7,3,4,2,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,5,0,1,0,0,5,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,8,4,8,Kali
Bears,4,10,37,24,7,12,1,0,10,16,3,8,6,0,2,37,28,24,2,17,31,0,1,26,1,0,0,0,0,0,0,0,32,5,14,9,1,21,16,78,71,55,36,43,35,7,3,5,0,10,0,14,4,10,4,37,1,24,0,7,12,16,3,21,23,21,7,37,4,3,48,9,22,8,4,36,3,3,17,1,12,2,2,4,0,8,6,2,39,14,29,0,0,0,0,3,0,2,0,0,0,67,0,77,0,100,21,0,67,66,23,100,Unrepaired
Bears,2,5,20,11,1,6,3,3,8,10,3,2,0,0,0,15,16,15,0,0,19,0,1,13,1,0,1,1,0,0,0,0,34,1,10,2,0,12,8,46,46,34,19,31,14,1,1,2,0,0,0,18,4,5,2,20,3,11,3,1,6,10,3,3,8,15,8,12,1,1,21,5,8,7,0,17,4,1,2,0,2,0,0,3,0,2,0,0,11,1,12,0,0,1,0,1,0,2,0,0,0,36,0,41,0,50,18,4,41,34,15,50,Unrepaired
Bears,0,3,8,0,1,2,0,0,5,4,0,0,0,0,0,2,3,3,0,0,3,0,0,1,0,0,0,0,0,0,0,0,7,1,1,2,0,3,0,9,9,6,6,5,6,0,1,0,0,2,0,3,0,3,0,8,0,0,0,1,2,4,0,1,1,2,0,2,0,0,5,0,1,0,0,3,2,0,2,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,3,8,11,8,11,0,2,11,10,3,11,Unrepaired
Bears,3,9,32,0,3,8,3,0,4,13,2,5,0,0,0,26,27,28,0,0,30,2,3,23,0,0,3,1,0,0,0,3,62,1,2,11,0,30,25,77,77,47,42,41,24,0,2,3,0,0,2,49,5,9,3,32,3,0,0,3,8,13,2,24,36,19,11,22,3,5,63,10,26,3,2,48,6,2,21,1,0,0,3,5,0,5,0,0,35,4,19,0,0,1,0,1,0,1,0,0,0,27,39,78,39,96,0,26,65,73,24,96,Unrepaired
Bears,1,10,58,12,4,14,27,3,59,11,27,16,0,0,0,18,25,20,2,14,28,3,2,27,4,0,2,4,0,0,0,2,67,2,11,10,0,34,26,88,88,71,28,55,53,3,3,0,0,2,0,48,10,10,1,58,27,12,3,4,14,11,27,8,15,29,4,23,0,1,43,14,31,14,2,47,4,0,22,3,2,0,4,4,3,16,0,0,26,0,26,0,0,1,0,0,0,3,0,0,0,88,0,98,0,81,18,64,98,78,24,81,Unrepaired
Bears,2,7,36,29,2,13,0,0,12,8,5,2,1,0,0,15,25,26,1,16,27,0,3,24,3,0,0,0,3,0,0,0,46,8,14,10,1,21,18,73,73,37,45,28,31,5,4,1,1,7,4,42,2,7,2,36,0,29,0,2,13,8,5,13,14,18,5,17,1,1,42,12,19,3,5,37,2,1,20,0,15,0,1,2,3,2,1,0,33,0,25,0,2,1,1,1,1,2,0,0,0,66,0,74,0,85,44,21,71,68,24,85,Unrepaired
Bears,1,3,1,0,1,0,0,0,3,7,0,0,0,0,0,9,6,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,12,0,1,2,0,4,5,17,17,13,4,11,2,0,0,2,0,0,0,3,0,3,1,1,0,0,0,1,0,7,0,3,6,8,6,7,1,1,14,0,5,0,0,10,3,1,0,0,0,0,0,2,0,0,0,0,8,0,7,0,0,0,0,1,0,1,0,0,0,2,0,5,0,20,0,2,5,2,1,20,Unrepaired
Bears,1,3,3,0,1,0,0,0,3,7,0,0,0,0,0,10,6,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,11,0,1,2,0,4,5,17,17,13,4,10,3,0,0,2,0,0,0,3,0,3,1,3,0,0,0,1,0,7,0,4,5,7,5,6,0,0,14,2,4,0,0,12,3,1,1,0,0,0,0,2,0,0,0,0,10,1,6,0,0,0,0,1,0,1,0,0,0,2,0,5,0,25,0,2,5,5,1,25,jGenProg
Bears,0,0,6,0,0,0,3,0,15,0,1,0,0,0,0,0,7,4,4,0,7,0,1,7,1,0,0,0,1,0,0,0,13,0,0,2,1,4,8,13,14,9,9,9,7,2,0,0,0,5,0,2,4,0,0,6,3,0,0,0,0,0,1,0,0,9,0,9,0,0,9,1,4,0,1,2,0,0,5,0,0,0,0,0,0,0,0,0,8,7,8,0,0,0,0,0,0,0,0,0,0,15,0,15,0,15,0,0,0,15,7,15,Unrepaired
Bears,1,8,56,42,1,18,2,0,6,8,12,21,2,0,0,22,23,26,5,18,26,0,3,27,3,0,0,0,3,0,0,0,67,5,8,20,1,31,27,80,80,47,48,41,37,8,8,1,0,14,4,46,7,8,1,56,2,42,0,1,18,8,12,15,17,28,6,26,0,3,54,11,30,4,1,40,4,1,37,1,31,0,0,4,4,21,2,0,49,0,39,0,1,1,0,1,0,2,0,0,0,87,1,92,1,99,59,27,88,89,22,99,Cardumen
Bears,1,8,56,42,1,18,2,0,6,8,12,21,2,0,0,22,23,26,5,18,26,0,3,27,3,0,0,0,3,0,0,0,67,5,8,20,1,31,27,80,80,47,48,41,37,8,8,1,0,14,4,46,7,8,1,56,2,42,0,1,18,8,12,15,17,28,6,26,0,3,54,11,30,4,1,40,4,1,37,1,31,0,0,4,4,21,2,0,49,0,39,0,1,1,0,1,0,2,0,0,0,87,1,92,1,99,59,27,88,89,22,99,jMutRepair
Bears,1,8,56,42,1,18,2,0,6,8,12,21,2,0,0,22,23,26,5,18,26,0,3,27,3,0,0,0,3,0,0,0,67,5,8,20,1,31,27,80,80,47,48,41,37,8,8,1,0,14,4,46,7,8,1,56,2,42,0,1,18,8,12,15,17,28,6,26,0,3,54,11,30,4,1,40,4,1,37,1,31,0,0,4,4,21,2,0,49,0,39,0,1,1,0,1,0,2,0,0,0,87,1,92,1,99,59,27,88,89,22,99,jMutRepair
Bears,1,8,56,42,1,18,2,0,6,8,12,21,2,0,0,22,23,26,5,18,26,0,3,27,3,0,0,0,3,0,0,0,67,5,8,20,1,31,27,80,80,47,48,41,37,8,8,1,0,14,4,46,7,8,1,56,2,42,0,1,18,8,12,15,17,28,6,26,0,3,54,11,30,4,1,40,4,1,37,1,31,0,0,4,4,21,2,0,49,0,39,0,1,1,0,1,0,2,0,0,0,87,1,92,1,99,59,27,88,89,22,99,jKali
Bears,1,8,56,42,1,18,2,0,6,8,12,21,2,0,0,22,23,26,5,18,26,0,3,27,3,0,0,0,3,0,0,0,67,5,8,20,1,31,27,80,80,47,48,41,37,8,8,1,0,14,4,46,7,8,1,56,2,42,0,1,18,8,12,15,17,28,6,26,0,3,54,11,30,4,1,40,4,1,37,1,31,0,0,4,4,21,2,0,49,0,39,0,1,1,0,1,0,2,0,0,0,87,1,92,1,99,59,27,88,89,22,99,jGenProg
Bears,1,5,8,5,1,7,1,0,0,5,1,0,1,0,0,4,8,8,0,4,12,2,1,11,2,0,0,0,0,0,1,0,16,0,0,2,0,6,5,25,24,16,14,7,9,0,1,0,0,2,0,18,3,5,1,8,1,5,0,1,7,5,1,0,2,2,2,2,0,0,6,2,4,6,0,4,0,0,6,0,4,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,18,0,24,0,1,0,18,24,1,7,1,Cardumen
Bears,1,5,8,5,1,7,1,0,0,5,1,0,1,0,0,4,8,8,0,4,12,2,1,11,2,0,0,0,0,0,1,0,16,0,0,2,0,6,5,25,24,16,14,7,9,0,1,0,0,2,0,18,3,5,1,8,1,5,0,1,7,5,1,0,2,2,2,2,0,0,6,2,4,6,0,4,0,0,6,0,4,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,18,0,24,0,1,0,18,24,1,7,1,jMutRepair
Bears,1,5,8,5,1,7,1,0,0,5,1,0,1,0,0,4,8,8,0,4,12,2,1,11,2,0,0,0,0,0,1,0,16,0,0,2,0,6,5,25,24,16,14,7,9,0,1,0,0,2,0,18,3,5,1,8,1,5,0,1,7,5,1,0,2,2,2,2,0,0,6,2,4,6,0,4,0,0,6,0,4,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,18,0,24,0,1,0,18,24,1,7,1,jMutRepair
Bears,1,5,8,5,1,7,1,0,0,5,1,0,1,0,0,4,8,8,0,4,12,2,1,11,2,0,0,0,0,0,1,0,16,0,0,2,0,6,5,25,24,16,14,7,9,0,1,0,0,2,0,18,3,5,1,8,1,5,0,1,7,5,1,0,2,2,2,2,0,0,6,2,4,6,0,4,0,0,6,0,4,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,18,0,24,0,1,0,18,24,1,7,1,jKali
Bears,1,5,8,5,1,7,1,0,0,5,1,0,1,0,0,4,8,8,0,4,12,2,1,11,2,0,0,0,0,0,1,0,16,0,0,2,0,6,5,25,24,16,14,7,9,0,1,0,0,2,0,18,3,5,1,8,1,5,0,1,7,5,1,0,2,2,2,2,0,0,6,2,4,6,0,4,0,0,6,0,4,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,18,0,24,0,1,0,18,24,1,7,1,jGenProg
Bears,1,5,8,5,1,7,1,0,0,5,1,0,1,0,0,4,8,8,0,4,12,2,1,11,2,0,0,0,0,0,1,0,16,0,0,2,0,6,5,25,24,16,14,7,9,0,1,0,0,2,0,18,3,5,1,8,1,5,0,1,7,5,1,0,2,2,2,2,0,0,6,2,4,6,0,4,0,0,6,0,4,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,18,0,24,0,1,0,18,24,1,7,1,Kali
Bears,1,5,8,5,1,7,1,0,0,5,1,0,1,0,0,4,8,8,0,4,12,2,1,11,2,0,0,0,0,0,1,0,16,0,0,2,0,6,5,25,24,16,14,7,9,0,1,0,0,2,0,18,3,5,1,8,1,5,0,1,7,5,1,0,2,2,2,2,0,0,6,2,4,6,0,4,0,0,6,0,4,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,18,0,24,0,1,0,18,24,1,7,1,Arja
Bears,1,3,3,0,1,0,0,0,3,7,0,0,0,0,0,10,6,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,11,0,1,2,0,4,5,17,17,13,4,10,3,0,0,2,0,0,0,3,0,3,1,3,0,0,0,1,0,7,0,4,5,7,5,6,0,0,14,2,4,0,0,12,3,1,1,0,0,0,0,2,0,0,0,0,10,1,6,0,0,0,0,1,0,1,0,0,0,2,0,5,0,25,0,2,5,5,1,25,Unrepaired
Bears,1,3,1,0,1,0,0,0,3,6,0,0,0,0,0,8,4,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,0,1,2,0,3,4,15,15,11,4,9,2,0,0,1,0,0,0,3,0,3,1,1,0,0,0,1,0,6,0,2,5,7,5,6,1,1,12,0,4,0,0,8,3,1,0,0,0,0,0,2,0,0,0,0,7,0,6,0,0,0,0,1,0,1,0,0,0,2,0,5,0,17,0,2,5,2,1,17,Unrepaired
Bears,4,10,31,22,7,13,0,0,15,15,1,0,0,0,0,32,26,27,0,7,30,2,3,26,2,0,7,2,0,0,0,2,51,1,7,6,0,31,10,77,76,55,35,39,35,0,6,5,0,2,1,40,18,10,4,31,0,22,0,7,13,15,1,15,23,25,13,21,1,4,48,14,24,16,4,38,8,3,8,0,5,0,1,7,0,0,0,0,29,0,14,0,0,0,0,3,0,3,0,0,0,50,6,77,6,82,9,34,67,52,22,82,Cardumen
