Instance,NoGenSM,NoSM,NoPubSM,NoProSM,NoPriSM,NoDefSM,NoGenM,NoM,NoPubM,NoProM,NoPriM,NoDefM,NoAM,NoPubAM,NoProAM,NoPriAM,NoDefAM,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,Label
Bears/traccar-traccar/222468469-222479725,0.003937008,0.334645669,0.228346457,0.001968504,0.104330709,0,0.007874016,2.748031496,1.828740157,0.452755906,0.466535433,0,0.043307087,0.031496063,0.011811024,0,0,4.332708177,0.190547637,0.742498125,10.97749437,24.8947862,13.86702926,4.209677419,6.864591148,2.975243811,1.403309046,182.4534884,0.415728572,0.123968492,0.005090558,0.594297527,0.001875469,0.003750938,39.73108793,unrepaired
Bears/traccar-traccar/220525069-220735965,0.003944773,0.33530572,0.228796844,0.001972387,0.104536489,0,0.007889546,2.75147929,1.830374753,0.453648915,0.467455621,0,0.043392505,0.031558185,0.01183432,0,0,4.33670149,0.191642405,0.741736599,10.96437746,24.83849974,13.82651139,4.203459496,6.856824799,2.983558829,1.40340268,181.9905806,0.415887121,0.123308786,0.0051134,0.594438321,0.001883884,0.003767768,39.64508948,unrepaired
Bears/traccar-traccar/301176898-301185806,0.005328597,0.36589698,0.252220249,0,0.113676732,0,0.028419183,2.642984014,1.626998224,0.497335702,0.51687389,0.001776199,0.04973357,0.039076377,0.010657194,0,0,4.335051546,0.190409247,0.742736645,10.97641362,24.88784755,13.9076851,4.208528585,6.865042174,2.976101218,1.403614823,182.4504842,0.415487604,0.124023743,0.005087696,0.594315521,0.001874414,0.003748828,39.68469242,unrepaired
Bears/traccar-traccar/239191142-239340888,0.003759398,0.336466165,0.227443609,0.001879699,0.107142857,0,0.007518797,2.817669173,1.904135338,0.45112782,0.460526316,0.001879699,0.04887218,0.037593985,0.011278195,0,0,4.34309201,0.191664263,0.741563311,10.96697433,24.90380733,13.89226997,4.204788001,6.859100087,2.989327949,1.403695704,182.375685,0.415873051,0.123738102,0.005088796,0.594531442,0.00187482,0.003749639,39.68220331,unrepaired
Bears/traccar-traccar/216100740-216167822,0.003952569,0.335968379,0.225296443,0.001976285,0.108695652,0,0.007905138,2.745059289,1.833992095,0.45256917,0.458498024,0,0.043478261,0.031620553,0.011857708,0,0,4.34516129,0.192473118,0.740994624,10.95739247,24.85698925,13.85188172,4.200268817,6.853360215,2.994892473,1.403662691,181.9955645,0.416043534,0.123252688,0.005107527,0.594624904,0.00188172,0.003763441,39.61589264,repaired
Bears/traccar-traccar/190843415-191103948,0.002083333,0.322916667,0.21875,0.002083333,0.102083333,0,0.00625,2.639583333,1.770833333,0.45,0.41875,0,0.041666667,0.029166667,0.0125,0,0,4.340025253,0.192929293,0.740656566,10.95113636,24.80416667,13.70631313,4.198484848,6.846843434,2.996212121,1.403713131,181.3271465,0.416322929,0.12260101,0.005140693,0.594896349,0.001893939,0.003787879,39.56401276,unrepaired
Bears/traccar-traccar/267371558-268530427,0.003623188,0.367753623,0.251811594,0,0.115942029,0,0.027173913,2.641304348,1.664855072,0.490942029,0.483695652,0.001811594,0.050724638,0.039855072,0.010869565,0,0,4.338408876,0.192280453,0.741029273,10.95491029,24.82625118,13.7671152,4.199952786,6.849386213,2.992209632,1.40376363,181.48017,0.416181311,0.123465534,0.00512613,0.594751539,0.001888574,0.003777148,39.59188915,repaired
Bears/traccar-traccar/195128524-195455832,0.002061856,0.319587629,0.218556701,0.002061856,0.098969072,0,0.006185567,2.690721649,1.812371134,0.449484536,0.428865979,0,0.041237113,0.028865979,0.012371134,0,0,4.336719884,0.192698448,0.740761416,10.95054148,24.78966172,13.68281791,4.19939712,6.844479178,2.995757508,1.403721716,181.0058055,0.416523588,0.122808976,0.005151597,0.595041634,0.001897957,0.003795914,39.54688434,repaired
Bears/traccar-traccar/216189551-216602583,0.003952569,0.335968379,0.225296443,0.001976285,0.108695652,0,0.007905138,2.745059289,1.833992095,0.45256917,0.458498024,0,0.043478261,0.031620553,0.011857708,0,0,4.33868752,0.193279087,0.740357181,10.94388672,24.75895593,13.66226355,4.196132305,6.840748177,2.999788651,1.40369437,180.7805136,0.416622839,0.122477016,0.005162966,0.595087835,0.001902145,0.00380429,39.50206452,unrepaired
Bears/traccar-traccar/267146704-267366528,0.003623188,0.367753623,0.251811594,0,0.115942029,0,0.027173913,2.641304348,1.664855072,0.490942029,0.483695652,0.001811594,0.050724638,0.039855072,0.010869565,0,0,4.337393909,0.192710934,0.740688967,10.94747878,24.78012981,13.71612581,4.197503744,6.843235147,2.996205691,1.403738122,180.9400899,0.41648651,0.123215177,0.005149419,0.594954782,0.001897154,0.003794309,39.52906044,unrepaired
Bears/traccar-traccar/255051210-255052458,0.003584229,0.338709677,0.231182796,0,0.107526882,0,0.007168459,2.887096774,1.976702509,0.446236559,0.462365591,0.001792115,0.046594982,0.035842294,0.010752688,0,0,4.34625934,0.193511775,0.739808947,10.94419748,24.80506952,13.73678237,4.196916675,6.840726379,3.008228507,1.403952566,181.0101201,0.416647733,0.123238438,0.005134372,0.595125368,0.001891611,0.003783221,39.52499725,repaired
Bears/traccar-traccar/228965242-229298433,0.003929273,0.339882122,0.233791749,0.001964637,0.104125737,0,0.007858546,2.776031434,1.856581532,0.453831041,0.463654224,0.001964637,0.05108055,0.039292731,0.011787819,0,0,4.349214943,0.194008302,0.739487457,10.94080491,24.81339108,13.73641942,4.195091139,6.839018228,3.012813572,1.403875716,181.0508933,0.416703218,0.12299224,0.005143476,0.595155329,0.001894965,0.00378993,39.54235292,unrepaired
Bears/traccar-traccar/322427143-322428590,0.006956522,0.387826087,0.264347826,0,0.123478261,0,0.027826087,2.646956522,1.610434783,0.507826087,0.526956522,0.00173913,0.052173913,0.03826087,0.013913043,0,0,4.349146436,0.193102857,0.740070344,10.94870035,24.84970404,13.80629665,4.198678905,6.844213777,3.006948615,1.403871831,181.5549455,0.416538208,0.12327357,0.005122612,0.594943785,0.001887278,0.003774556,39.59569554,repaired
Bears/traccar-traccar/216602583-216605267,0.003952569,0.335968379,0.225296443,0.001976285,0.108695652,0,0.007905138,2.745059289,1.833992095,0.45256917,0.458498024,0,0.043478261,0.031620553,0.011857708,0,0,4.350160322,0.193537779,0.739784593,10.94359944,24.82331662,13.78516813,4.196168708,6.841322042,3.009619337,1.403844311,181.3558333,0.416614819,0.122995971,0.005132662,0.594983801,0.001890981,0.003781962,39.55854776,unrepaired
Bears/traccar-traccar/307668730-307760931,0.007029877,0.367311072,0.249560633,0,0.117750439,0,0.028119508,2.637961336,1.616871705,0.506151142,0.513181019,0.001757469,0.052724077,0.038664323,0.014059754,0,0,4.348649073,0.192742696,0.740417845,10.9498115,24.84857053,13.82917059,4.199026076,6.845507383,3.004084197,1.404001464,181.6353283,0.416344897,0.123311342,0.005116467,0.594848216,0.001885014,0.003770028,39.58971126,unrepaired
Bears/traccar-traccar/233864732-233868407,0.003816794,0.332061069,0.229007634,0.001908397,0.101145038,0,0.007633588,2.835877863,1.927480916,0.448473282,0.458015267,0.001908397,0.049618321,0.038167939,0.011450382,0,0,4.352896801,0.193346409,0.739966807,10.9461376,24.85463186,13.82694629,4.197721786,6.843165359,3.010787568,1.403918495,181.6021424,0.41653529,0.123189499,0.005118976,0.594933199,0.001885938,0.003771877,39.58727431,unrepaired
Bears/traccar-traccar/316227226-316639485,0.006980803,0.368237347,0.251308901,0,0.116928447,0,0.027923211,2.642233857,1.607329843,0.507853403,0.52530541,0.001745201,0.052356021,0.038394415,0.013961606,0,0,4.351724637,0.192566346,0.740472919,10.95220189,24.8806132,13.86716321,4.200086774,6.847566708,3.005351074,1.403896542,181.9657242,0.416390311,0.123436257,0.005103148,0.59477516,0.001880107,0.003760214,39.62748764,repaired
Bears/traccar-traccar/248584369-248666173,0.003676471,0.340073529,0.229779412,0,0.110294118,0,0.007352941,2.832720588,1.915441176,0.448529412,0.466911765,0.001838235,0.047794118,0.036764706,0.011029412,0,0,4.35573645,0.19307034,0.739929034,10.94914075,24.89278508,13.86822514,4.198358032,6.846100327,3.011271133,1.404151763,181.9914423,0.416405758,0.123217143,0.005098846,0.594866571,0.001878522,0.003757044,39.6307374,unrepaired
Bears/traccar-traccar/198464113-198488474,0.002053388,0.32238193,0.219712526,0.002053388,0.100616016,0,0.006160164,2.689938398,1.811088296,0.449691992,0.429158111,0,0.041067762,0.028747433,0.012320329,0,0,4.354239569,0.193270525,0.739838493,10.94710633,24.86965007,13.81386272,4.198250336,6.843472409,3.012786003,1.404075177,181.6915882,0.416615471,0.122812921,0.005114401,0.595027389,0.001884253,0.003768506,39.60059416,repaired
Bears/traccar-traccar/269449386-269490884,0.003623188,0.367753623,0.251811594,0,0.115942029,0,0.027173913,2.644927536,1.666666667,0.490942029,0.485507246,0.001811594,0.050724638,0.039855072,0.010869565,0,0,4.35297171,0.192901635,0.740072671,10.94971451,24.87989878,13.84531534,4.199260317,6.84518557,3.010057098,1.404091149,181.7723852,0.416527146,0.123280561,0.005107338,0.594943148,0.001881651,0.003763301,39.61543411,repaired
Bears/traccar-traccar/308288525-308872339,0.007029877,0.369068541,0.251318102,0,0.117750439,0,0.028119508,2.639718805,1.616871705,0.506151142,0.514938489,0.001757469,0.052724077,0.038664323,0.014059754,0,0,4.351855328,0.192290845,0.740566923,10.95488392,24.89988111,13.87910644,4.201551843,6.848695326,3.005694262,1.40409943,181.996621,0.416381089,0.123521682,0.005095336,0.59482334,0.001877229,0.003754458,39.63924848,repaired
Bears/traccar-traccar/292295467-292405214,0.005434783,0.369565217,0.253623188,0,0.115942029,0,0.028985507,2.650362319,1.639492754,0.498188406,0.510869565,0.001811594,0.050724638,0.039855072,0.010869565,0,0,4.35111595,0.191858707,0.740881873,10.95802335,24.9139902,13.90273997,4.202746023,6.850964737,3.002600859,1.404139246,182.1643985,0.416246403,0.12381298,0.005089388,0.594729828,0.001875038,0.003750076,39.65806636,unrepaired
Bears/traccar-traccar/265439859-265542197,0.003642987,0.369763206,0.253187614,0,0.116575592,0,0.027322404,2.641165756,1.666666667,0.489981785,0.482695811,0.001821494,0.051001821,0.04007286,0.010928962,0,0,4.350017562,0.191605198,0.741072474,10.96007493,24.92143777,13.92746751,4.203547594,6.852300667,3.00052687,1.404135105,182.2026695,0.416193582,0.124165789,0.005084717,0.594661716,0.001873317,0.003746634,39.67222215,unrepaired
Bears/traccar-traccar/274558862-274871026,0.003623188,0.367753623,0.251811594,0,0.115942029,0,0.027173913,2.610507246,1.610507246,0.498188406,0.5,0.001811594,0.050724638,0.039855072,0.010869565,0,0,4.34796416,0.191278213,0.741295225,10.96200522,24.9296813,13.92934105,4.204037655,6.853805149,2.996767608,1.404171779,182.3024838,0.416072885,0.124418737,0.005079473,0.594599017,0.001871385,0.00374277,39.68521515,unrepaired
Bears/traccar-traccar/188473748-188474474,0.00209205,0.324267782,0.219665272,0.00209205,0.10251046,0,0.006276151,2.635983264,1.771966527,0.449790795,0.414225941,0,0.041841004,0.029288703,0.012552301,0,0,4.345571996,0.191530477,0.741110866,10.95897747,24.90404152,13.86335027,4.203125,6.850817138,2.997349823,1.404184961,182.0026502,0.416185126,0.124116608,0.00509528,0.594726378,0.001877208,0.003754417,39.66334032,repaired
Bears/traccar-traccar/201008628-201013389,0.00204499,0.321063395,0.218813906,0.00204499,0.100204499,0,0.006134969,2.689161554,1.807770961,0.449897751,0.431492843,0,0.040899796,0.028629857,0.012269939,0,0,4.344497608,0.191710123,0.741035428,10.95688404,24.88592011,13.81882694,4.202784797,6.848502769,2.998817268,1.404171103,181.788291,0.416313691,0.123756787,0.005107252,0.594860069,0.001881619,0.003763239,39.6455334,unrepaired
Bears/traccar-traccar/241384932-242095240,0.003738318,0.336448598,0.226168224,0.001869159,0.108411215,0,0.007476636,2.807476636,1.895327103,0.452336449,0.457943925,0.001869159,0.048598131,0.037383178,0.011214953,0,0,4.346833194,0.192098662,0.740698161,10.95406564,24.89093855,13.81380644,4.201609532,6.846833194,3.002717391,1.404278355,181.7664089,0.416365126,0.123641304,0.005106307,0.594927999,0.001881271,0.003762542,39.64491184,unrepaired
Bears/traccar-traccar/243199408-243229436,0.003703704,0.344444444,0.231481481,0,0.112962963,0,0.007407407,2.837037037,1.92962963,0.45,0.455555556,0.001851852,0.048148148,0.037037037,0.011111111,0,0,4.350071153,0.192518805,0.740343566,10.9518703,24.89738768,13.81673104,4.200701362,6.845497052,3.007521854,1.404397769,181.7494409,0.416409529,0.123500712,0.005104115,0.594988267,0.001880464,0.003760927,39.6420312,unrepaired
Bears/traccar-traccar/273118899-273136493,0.003629764,0.368421053,0.252268603,0,0.11615245,0,0.02722323,2.602540835,1.613430127,0.497277677,0.490018149,0.001814882,0.050816697,0.039927405,0.010889292,0,0,4.348099075,0.192218322,0.740544816,10.95392297,24.90463242,13.82058634,4.201216196,6.847135018,3.004152865,1.404409019,181.8195481,0.416318998,0.123745489,0.005099266,0.594931194,0.001878677,0.003757354,39.65593047,repaired
Bears/traccar-traccar/243640798-243870734,0.003696858,0.343807763,0.231053604,0,0.112754159,0,0.007393715,2.831792976,1.924214418,0.451016636,0.454713494,0.001848429,0.04805915,0.036968577,0.011090573,0,0,4.35097265,0.192604006,0.740225347,10.95208975,24.91092065,13.82241911,4.200356317,6.846109399,3.008522727,1.404547435,181.8040254,0.416342219,0.123651772,0.005097127,0.594990327,0.001877889,0.003755778,39.65367497,unrepaired
Bears/traccar-traccar/275432141-275689407,0.003616637,0.368896926,0.253164557,0,0.115732369,0,0.027124774,2.634719711,1.636528029,0.497287523,0.499095841,0.001808318,0.050632911,0.039783002,0.01084991,0,0,4.34988978,0.192298673,0.740443694,10.95441114,24.91989119,13.83687444,4.201210075,6.847755734,3.005909667,1.404526926,181.9073214,0.416266267,0.123915389,0.00509223,0.594904283,0.001876085,0.003752169,39.66592077,unrepaired
Bears/traccar-traccar/237845618-237846623,0.003766478,0.337099812,0.22787194,0.001883239,0.107344633,0,0.007532957,2.8173258,1.905838041,0.450094162,0.459510358,0.001883239,0.048964218,0.037664783,0.011299435,0,0,4.352095918,0.192659711,0.740161084,10.95185795,24.92298188,13.83424858,4.200256269,6.846146806,3.009427055,1.404594611,181.8846787,0.416388882,0.123833059,0.005092702,0.594976154,0.001876258,0.003752517,39.66154798,repaired
Bears/traccar-traccar/222528691-222667430,0.003937008,0.334645669,0.228346457,0.001968504,0.104330709,0,0.007874016,2.748031496,1.828740157,0.452755906,0.466535433,0,0.043307087,0.031496063,0.011811024,0,0,4.352549195,0.19293381,0.739982111,10.94923971,24.9072898,13.82374776,4.198837209,6.844856887,3.010733453,1.4045271,181.7748211,0.41644135,0.123658318,0.00509839,0.595010057,0.001878354,0.003756708,39.64097049,unrepaired
Bears/SzFMV2018-Tavasz-AutomatedCar/351742666-351759763,0,0.421052632,0.421052632,0,0,0,0,2.210526316,1.842105263,0.105263158,0.263157895,0,0.631578947,0.631578947,0,0,0,3.684210526,1.052631579,0.210526316,3.421052632,7.578947368,6.210526316,1.631578947,1.894736842,3.421052632,1.094444444,55.15789474,0.712280702,0.736842105,0.145946305,0.580987726,0.052631579,0.052631579,7.823375747,repaired
Bears/albfernandez-GDS-PMD-Security-Rules/451155169-455669767,0,0.384615385,0.384615385,0,0,0,0.076923077,8,2.923076923,1,4.076923077,0,0.076923077,0.076923077,0,0,0,9.384615385,0.769230769,0.153846154,7.923076923,35,115.6153846,0.923076923,7,3.923076923,1.151186286,360,0.58974359,0.153846154,0,0.317678442,0,0,22.67396549,repaired
Bears/spring-cloud-spring-cloud-gcp/330973656-330980388,0,0,0,0,0,0,0,10.5,9.25,0,1,0.25,0,0,0,0,0,12,1,0,10.75,29.5,75.25,1.25,10,10.25,0.517424242,141.25,0.95,0.25,0,0.41856199,0,0,11.10072464,unrepaired
Bears/raphw-byte-buddy/363589915-364299280,0,2.534090909,2.534090909,0,0,0,0.420454545,3.431818182,3.375,0.011363636,0.045454545,0,2.056818182,2.056818182,0,0,0,7.755364807,0.991416309,0.017167382,10.34763948,17.87553648,103.472103,3.13304721,7.300429185,6.540772532,0.97520602,109.0515021,0.489826195,1.321888412,0.153340508,0.494602387,0.386266094,0.407725322,9.994590847,unrepaired
Bears/raphw-byte-buddy/449069943-450332514,0.414634146,2.219512195,2.134146341,0.024390244,0.06097561,0,0.012195122,2.731707317,2.646341463,0.048780488,0.036585366,0,0.695121951,0.670731707,0.024390244,0,0,7.962105263,0.981052632,0.016842105,10.74105263,18.22526316,105.9031579,3.248421053,7.572631579,6.713684211,0.974791653,113.0631579,0.492365813,1.338947368,0.151697402,0.492014087,0.381052632,0.402105263,10.1389878,unrepaired
Bears/raphw-byte-buddy/432194751-432199042,0.138888889,2.722222222,2.666666667,0,0.055555556,0,0.055555556,4.138888889,3.916666667,0.138888889,0.083333333,0,1.138888889,1.138888889,0,0,0,8.019607843,0.980392157,0.016806723,10.9047619,18.37955182,106.2338936,3.299719888,7.683473389,6.74929972,0.970300452,114.7366947,0.495263332,1.350140056,0.151798591,0.49085346,0.380952381,0.401960784,10.24020283,unrepaired
Bears/raphw-byte-buddy/357569370-357575635,0.076923077,3.115384615,3.08974359,0,0.025641026,0,0.525641026,5.512820513,4.461538462,0.948717949,0.102564103,0,0.782051282,0.769230769,0.012820513,0,0,8.052854123,0.983086681,0.016913319,10.77167019,18.15750529,106.2315011,3.258985201,7.593023256,6.705073996,0.982640528,116.7600423,0.494471189,1.344608879,0.152338829,0.492299798,0.382663848,0.403805497,10.32755899,unrepaired
Bears/raphw-byte-buddy/352481508-352894244,0.179245283,1.613207547,1.575471698,0,0.037735849,0,0.009433962,2.367924528,2.141509434,0.198113208,0.028301887,0,1.801886792,1.783018868,0.018867925,0,0,8.057216055,0.983774552,0.017079419,10.62169086,17.94534586,106.6122972,3.208368915,7.49530316,6.673783091,0.99014936,117.4210077,0.493162168,1.343296328,0.152925845,0.494382451,0.380017079,0.401366354,10.3413304,unrepaired
Bears/FasterXML-jackson-dataformats-binary/461131167-461139756,0,0.714285714,0.428571429,0,0.285714286,0,2,35.28571429,19.71428571,8.142857143,7.428571429,0,0,0,0,0,0,40.28571429,1.857142857,0,11.85714286,71.28571429,1081.142857,1.571428571,10.28571429,23.14285714,0.818048423,1628.285714,0.614505495,0.428571429,0.337488979,0.346129212,1,13.57142857,26.89602754,unrepaired
Bears/spring-projects-spring-data-commons/193356189-194423789,0.069767442,0.456395349,0.273255814,0.002906977,0.174418605,0.005813953,0.290697674,3.337209302,2.668604651,0.290697674,0.348837209,0.029069767,1.093023256,1.031976744,0.061046512,0,0,6.282420749,0.968299712,0.109510086,7.259365994,16.75792507,23.20461095,2.109510086,5.213256484,4.922190202,1.162017481,92.62824207,0.558788846,0.495677233,0.055189758,0.515341556,0.115273775,0.115273775,10.7253439,unrepaired
Bears/spring-projects-spring-data-commons/254354007-255142407,0.069565217,0.455072464,0.272463768,0.002898551,0.173913043,0.005797101,0.286956522,3.31884058,2.649275362,0.284057971,0.356521739,0.028985507,1.095652174,1.034782609,0.060869565,0,0,6.290647482,0.968345324,0.109352518,7.273381295,16.76258993,23.28201439,2.107913669,5.228776978,4.926618705,1.162882551,93.09640288,0.557984833,0.494964029,0.055110348,0.515205123,0.115107914,0.115107914,10.71648498,unrepaired
Bears/spring-projects-spring-data-commons/323136560-323139345,0.063583815,0.468208092,0.277456647,0.002890173,0.182080925,0.005780347,0.286127168,3.315028902,2.641618497,0.291907514,0.352601156,0.028901734,1.095375723,1.034682081,0.060693642,0,0,6.295977011,0.968390805,0.109195402,7.283524904,16.77394636,23.35249042,2.109195402,5.237547893,4.92816092,1.164452919,93.2710728,0.557183131,0.494252874,0.055031166,0.514989895,0.114942529,0.114942529,10.69833102,unrepaired
Bears/spring-projects-spring-data-commons/271991482-272568125,0.069565217,0.463768116,0.284057971,0.002898551,0.171014493,0.005797101,0.289855072,3.350724638,2.675362319,0.289855072,0.356521739,0.028985507,1.095652174,1.034782609,0.060869565,0,0,6.298850575,0.968390805,0.109195402,7.284482759,16.77586207,23.36925287,2.108477011,5.239224138,4.92887931,1.16427053,93.36566092,0.557183131,0.494252874,0.055031166,0.51505696,0.114942529,0.114942529,10.69958289,unrepaired
Bears/spring-projects-spring-data-commons/240714544-241322094,0.073619632,0.450920245,0.26993865,0.003067485,0.171779141,0.006134969,0.297546012,3.306748466,2.659509202,0.263803681,0.352760736,0.030674847,1.116564417,1.052147239,0.064417178,0,0,6.297701149,0.968390805,0.109195402,7.282183908,16.77471264,23.36551724,2.108045977,5.237356322,4.929310345,1.164349403,93.37873563,0.557183131,0.494252874,0.055031166,0.515132575,0.114942529,0.114942529,10.701702,unrepaired
Bears/spring-projects-spring-data-commons/303079759-303439729,0.069565217,0.469565217,0.27826087,0.002898551,0.182608696,0.005797101,0.289855072,3.347826087,2.675362319,0.289855072,0.353623188,0.028985507,1.098550725,1.037681159,0.060869565,0,0,6.301245211,0.968390805,0.109195402,7.285440613,16.78256705,23.40469349,2.108716475,5.239942529,4.930555556,1.164513179,93.44348659,0.557183131,0.494252874,0.055031166,0.515059268,0.114942529,0.114942529,10.69794962,unrepaired
Bears/spring-projects-spring-data-commons/193313395-193356189,0.069767442,0.462209302,0.281976744,0.002906977,0.171511628,0.005813953,0.290697674,3.337209302,2.668604651,0.290697674,0.348837209,0.029069767,1.093023256,1.031976744,0.061046512,0,0,6.298562628,0.968377823,0.109240246,7.281724846,16.77782341,23.3761807,2.108829569,5.23613963,4.92936345,1.164157529,93.32361396,0.557411953,0.494455852,0.055053766,0.515099495,0.114989733,0.114989733,10.70139143,unrepaired
Bears/spring-projects-spring-data-commons/185852074-193313389,0.047923323,0.389776358,0.24600639,0.003194888,0.137380192,0.003194888,0.313099042,3.268370607,2.581469649,0.290734824,0.370607029,0.025559105,1.102236422,1.03514377,0.067092652,0,0,6.283169756,0.968011632,0.110141767,7.256270447,16.75354417,23.2871683,2.103962196,5.215557979,4.921483097,1.164733144,92.90694293,0.557428173,0.494365685,0.055135353,0.515812945,0.113413304,0.113413304,10.70400064,repaired
Bears/spring-projects-spring-data-commons/263410130-263513297,0.055900621,0.416149068,0.257763975,0.00310559,0.149068323,0.00621118,0.307453416,3.413043478,2.723602484,0.285714286,0.372670807,0.031055901,1.130434783,1.065217391,0.065217391,0,0,6.292912874,0.967815345,0.11053316,7.253250975,16.77925878,23.31404421,2.103706112,5.213263979,4.932379714,1.163807932,93.0526658,0.558264919,0.494473342,0.055038618,0.515805072,0.112808843,0.112808843,10.72490521,repaired
Bears/spring-projects-spring-data-commons/264284792-264335430,0.069565217,0.455072464,0.272463768,0.002898551,0.173913043,0.005797101,0.286956522,3.32173913,2.652173913,0.284057971,0.356521739,0.028985507,1.095652174,1.034782609,0.060869565,0,0,6.294100467,0.967873832,0.110397196,7.25671729,16.77891355,23.32476636,2.103971963,5.216413551,4.932535047,1.163799337,93.10952103,0.558154971,0.494450935,0.055037861,0.515756787,0.113025701,0.113025701,10.72271578,unrepaired
