NumberConsecutiveChanges,NumberCodeBursts,TotalBurstSize,MaximumCodeBurst,NumberOfChangesEarly,NumberOfConsecutiveChangesEarly,NumberCodeBurstsEarly,TotalBurstSizeEarly,MaximumCodeBurstEarly,NumberOfChangesLate,NumberConsecutiveChangesLate,NumberCodeBurstsLate,TotalBurstSizeLate,MaximumCodeBurstLate,TimeFirstBurst,TimeLastBurst,TimeMaxBurst,PeopleTotal,TotalPeopleInBurst,MaxPeopleInBurst,ChurnTotal,TotalChurnInBurst,MaxChurnInBurst,NumberOfChanges
4,4,4,1,1,1,1,1,1,3,3,3,3,1,222,417,222,3,3,1,111,111,66,4
9,9,13,3,12,8,8,12,3,1,1,1,1,1,16,395,171,5,5,2,381,381,171,13
3,3,4,2,4,3,3,4,2,0,0,0,0,0,20,261,261,3,3,2,706,706,522,4
5,5,5,1,4,4,4,4,1,1,1,1,1,1,228,395,228,3,3,1,445,445,326,5
3,3,3,1,3,3,3,3,1,0,0,0,0,0,16,228,16,1,1,1,725,725,522,3
3,3,3,1,3,3,3,3,1,0,0,0,0,0,20,264,20,2,2,1,143,143,107,3
9,9,11,2,9,7,7,9,2,2,2,2,2,1,16,406,131,4,4,1,231,231,76,11
1,1,3,3,0,0,0,0,0,3,1,1,3,3,444,444,444,2,2,2,128,128,128,3
4,4,4,1,3,3,3,3,1,1,1,1,1,1,16,395,16,3,3,1,90,90,68,4
10,10,12,2,11,9,9,11,2,1,1,1,1,1,16,395,155,5,5,1,359,359,232,12
12,12,13,2,12,11,11,12,2,1,1,1,1,1,2,395,261,4,4,1,344,344,118,13
6,6,6,1,5,5,5,5,1,1,1,1,1,1,16,395,16,3,3,1,207,207,92,6
7,7,7,1,6,6,6,6,1,1,1,1,1,1,57,395,57,3,3,1,129,129,68,7
14,14,17,2,11,9,9,11,2,6,5,5,6,2,16,447,56,4,4,2,372,372,68,17
9,9,10,2,9,8,8,9,2,1,1,1,1,1,16,395,86,4,4,1,866,866,551,10
11,11,12,2,11,10,10,11,2,1,1,1,1,1,16,395,145,5,5,1,665,665,204,12
1,1,1,1,0,0,0,0,0,1,1,1,1,1,444,444,444,1,1,1,41,41,41,1
8,8,9,2,0,0,0,0,0,9,8,8,9,2,362,430,418,3,3,1,892,892,556,9
14,14,18,3,13,11,11,13,2,5,3,3,5,3,15,406,371,4,4,1,667,667,232,18
2,2,2,1,1,1,1,1,1,1,1,1,1,1,222,395,222,2,2,1,76,76,68,2
15,15,17,2,13,11,11,13,2,4,4,4,4,1,2,412,240,3,3,1,1557,1557,454,17
3,3,3,1,2,2,2,2,1,1,1,1,1,1,165,395,165,3,3,1,130,130,68,3
5,5,5,1,2,2,2,2,1,3,3,3,3,1,16,417,16,3,3,1,768,768,575,5
13,13,15,2,14,12,12,14,2,1,1,1,1,1,16,395,85,3,3,1,964,964,441,15
5,5,6,2,6,5,5,6,2,0,0,0,0,0,19,261,261,3,3,2,536,536,420,6
14,14,17,2,15,13,13,15,2,2,1,1,2,2,16,395,32,4,4,2,1410,1410,760,17
6,6,6,1,2,2,2,2,1,4,4,4,4,1,304,401,304,3,3,1,1291,1291,878,6
1,1,3,3,0,0,0,0,0,3,1,1,3,3,444,444,444,2,2,2,128,128,128,3
1,1,3,3,0,0,0,0,0,3,1,1,3,3,444,444,444,2,2,2,131,131,131,3
10,10,16,4,15,9,9,15,4,1,1,1,1,1,16,395,256,5,5,2,749,749,189,16
5,5,5,1,4,4,4,4,1,1,1,1,1,1,16,395,16,4,4,1,128,128,68,5
2,2,2,1,0,0,0,0,0,2,2,2,2,1,406,434,406,2,2,1,126,126,122,2
8,8,9,2,8,7,7,8,2,1,1,1,1,1,74,395,261,4,4,1,142,142,68,9
6,6,6,1,3,3,3,3,1,3,3,3,3,1,16,423,16,4,4,1,359,359,147,6
3,3,3,1,2,2,2,2,1,1,1,1,1,1,222,395,222,3,3,1,80,80,68,3
4,4,4,1,4,4,4,4,1,0,0,0,0,0,16,228,16,2,2,1,514,514,326,4
5,5,6,2,5,4,4,5,2,1,1,1,1,1,2,395,2,3,3,1,107,107,66,6
7,7,9,2,8,6,6,8,2,1,1,1,1,1,16,395,206,3,3,1,197,197,68,9
6,6,7,2,6,5,5,6,2,1,1,1,1,1,16,395,322,3,3,1,283,283,126,7
21,21,22,2,19,18,18,19,2,3,3,3,3,1,16,420,136,6,6,1,594,594,170,22
7,7,8,2,7,6,6,7,2,1,1,1,1,1,14,395,261,4,4,1,177,177,68,8
4,4,4,1,1,1,1,1,1,3,3,3,3,1,222,417,222,3,3,1,111,111,66,4
1,1,3,3,0,0,0,0,0,3,1,1,3,3,444,444,444,2,2,2,128,128,128,3
4,4,4,1,3,3,3,3,1,1,1,1,1,1,16,395,16,3,3,1,125,125,68,4
12,12,13,2,11,10,10,11,2,2,2,2,2,1,12,395,172,6,6,2,542,542,268,13
7,7,7,1,7,7,7,7,1,0,0,0,0,0,2,216,2,2,2,1,436,436,207,7
6,6,6,1,4,4,4,4,1,2,2,2,2,1,16,406,16,3,3,1,168,168,75,6
4,4,4,1,3,3,3,3,1,1,1,1,1,1,16,395,16,3,3,1,105,105,68,4
5,5,5,1,4,4,4,4,1,1,1,1,1,1,16,395,16,3,3,1,283,283,127,5
4,4,4,1,1,1,1,1,1,3,3,3,3,1,222,417,222,3,3,1,111,111,66,4
4,4,4,1,3,3,3,3,1,1,1,1,1,1,16,395,16,3,3,1,125,125,68,4
5,5,7,3,6,4,4,6,3,1,1,1,1,1,16,395,174,3,3,1,237,237,93,7
3,3,3,1,2,2,2,2,1,1,1,1,1,1,222,395,222,3,3,1,96,96,68,3
9,9,9,1,8,8,8,8,1,1,1,1,1,1,16,395,16,3,3,1,169,169,68,9
5,5,5,1,4,4,4,4,1,1,1,1,1,1,16,395,16,4,4,1,113,113,68,5
39,39,79,8,71,32,32,71,8,8,7,7,8,2,2,431,147,5,5,3,9385,9385,2301,79
13,13,14,2,13,12,12,13,2,1,1,1,1,1,2,395,2,5,5,2,279,279,70,14
2,2,2,1,1,1,1,1,1,1,1,1,1,1,222,395,222,2,2,1,76,76,68,2
2,2,2,1,0,0,0,0,0,2,2,2,2,1,406,434,406,2,2,1,191,191,187,2
1,1,3,3,0,0,0,0,0,3,1,1,3,3,444,444,444,2,2,2,134,134,134,3
13,13,14,2,12,11,11,12,2,2,2,2,2,1,15,437,107,5,5,1,664,664,415,14
3,3,3,1,2,2,2,2,1,1,1,1,1,1,16,395,16,2,2,1,91,91,68,3
1,1,4,4,0,0,0,0,0,4,1,1,4,4,444,444,444,2,2,2,131,131,131,4
5,5,5,1,4,4,4,4,1,1,1,1,1,1,16,395,16,3,3,1,131,131,68,5
4,4,4,1,3,3,3,3,1,1,1,1,1,1,16,395,16,3,3,1,100,100,68,4
16,16,28,9,21,12,12,21,6,7,5,5,7,3,13,443,351,5,5,4,10086,10086,7296,28
1,1,3,3,0,0,0,0,0,3,1,1,3,3,444,444,444,2,2,2,167,167,167,3
